RegionName,ZoneName,WoredaName,GeoKey,WoredaLat,WoredaLon,Elevation_m,Area_km2,LatCenter,LonCenter
Addis Ababa,Addis Ababa,Addis Ketema,addis ababa__addis ababa__addis ketema__,9.034698212854872,38.726558114195036,2466.29541015625,7.385986178443729,9.036880802562553,38.72702448706256
Addis Ababa,Addis Ababa,Akaki Kality,addis ababa__addis ababa__akaki kality__,8.89728556566618,38.803769890705,2155.22412109375,128.2205870576507,8.89748965884063,38.80513133195656
Addis Ababa,Addis Ababa,Arada,addis ababa__addis ababa__arada__,9.035681311338866,38.7546835191774,2457.87548828125,9.261943452128762,9.035817410764757,38.75469862564711
Addis Ababa,Addis Ababa,Bole,addis ababa__addis ababa__bole__,8.98003533307717,38.83908245092445,2287.157958984375,128.7884598346195,8.976621100054592,38.83427858463643
Addis Ababa,Addis Ababa,Gulele,addis ababa__addis ababa__gulele__,9.071479416494498,38.744859937113176,2747.909912109375,31.911316896684763,9.070694488379356,38.74856858613799
Addis Ababa,Addis Ababa,Kirkos,addis ababa__addis ababa__kirkos__,9.001003803530361,38.75843721783356,2332.944580078125,14.524461575510417,9.002919641894792,38.76018890421058
Addis Ababa,Addis Ababa,Kolfe Keraniyo,addis ababa__addis ababa__kolfe keraniyo__,9.010224654632118,38.68719697668988,2431.1796875,66.22398161664465,9.014116720145884,38.68809449285422
Addis Ababa,Addis Ababa,Lideta,addis ababa__addis ababa__lideta__,9.011481143879871,38.729876963602074,2344.588134765625,11.041834021189796,9.01144401805268,38.73032014084217
Addis Ababa,Addis Ababa,Nefas Silk Lafto,addis ababa__addis ababa__nefas silk lafto__,8.952101351535061,38.72884748276097,2221.656982421875,58.70445494901413,8.954212999630482,38.73226571547831
Addis Ababa,Addis Ababa,Yeka,addis ababa__addis ababa__yeka__,9.048984481088622,38.827313748592175,2572.359130859375,87.02292023228165,9.047489096133384,38.822680844266735
